sample,patient,vessel,seed,group,n_edges,pred_gt_length_ratio,broken_edge_fraction_5x,signed_excess_mm,positive_excess_mm
101_LCA,101,LCA,104729,always_consecutive,1050,1.483207277152729,0.015238095238095238,217.36001048449288,303.6399047537757
101_LCA,101,LCA,104729,rescued,84,42.131804419455925,0.7738095238095238,1279.3221412476669,1279.3221412476669
101_LCA,101,LCA,104729,sacrificed,31,0.8921279157475394,0.0,-1.475791485087772,1.3066767808296886
101_LCA,101,LCA,104729,always_nonconsecutive,14,42.95106440452674,0.7142857142857143,209.10544966581688,209.10544966581688
101_LCA,101,LCA,130363,always_consecutive,1050,1.497898827554204,0.017142857142857144,223.96867657933052,312.0192091936257
101_LCA,101,LCA,130363,rescued,84,42.072945008686595,0.7857142857142857,1277.4914375262817,1277.4914375262817
101_LCA,101,LCA,130363,sacrificed,31,0.8270490721511735,0.0,-2.3661312231621676,0.7797898939131933
101_LCA,101,LCA,130363,always_nonconsecutive,14,53.025623411157255,0.7857142857142857,259.3221776837826,259.3221776837826
101_LCA,101,LCA,155921,always_consecutive,1050,1.4952203634989687,0.017142857142857144,222.76382929607183,302.2168076118301
101_LCA,101,LCA,155921,rescued,84,36.97455796167819,0.7619047619047619,1118.9163512652244,1118.9163512652244
101_LCA,101,LCA,155921,sacrificed,31,1.009426701490811,0.03225806451612903,0.12896613511280802,2.755861362550518
101_LCA,101,LCA,155921,always_nonconsecutive,14,38.223678897400376,0.7142857142857143,185.54175500769864,185.54175500769864
101_LCA,101,LCA,181081,always_consecutive,1050,1.6247422031582448,0.01619047619047619,281.026338487159,338.4176443759401
101_LCA,101,LCA,181081,rescued,84,40.94859917319446,0.7857142857142857,1242.520919163019,1242.520919163019
101_LCA,101,LCA,181081,sacrificed,31,1.3519777236520931,0.03225806451612903,4.815386029722378,6.501911123253869
101_LCA,101,LCA,181081,always_nonconsecutive,14,49.14295764174604,0.7857142857142857,239.96899599127704,239.96899599127704
101_LCA,101,LCA,205019,always_consecutive,1050,1.4275326986586003,0.014285714285714285,192.31604377002105,262.3827871708555
101_LCA,101,LCA,205019,rescued,84,65.75201365668971,0.75,2013.9812957534775,2014.4373747787863
101_LCA,101,LCA,205019,sacrificed,31,2.9638852875310193,0.03225806451612903,26.86779628957907,28.806021828855474
101_LCA,101,LCA,205019,always_nonconsecutive,14,77.77551499297225,0.7142857142857143,382.6882300559173,382.6882300559173
101_RCA,101,RCA,104729,always_consecutive,570,1.3672618680912747,0.005263157894736842,89.62412855210184,119.03735926488827
101_RCA,101,RCA,104729,rescued,21,45.60474063308525,0.8571428571428571,377.81767362130626,377.81767362130626
